Juego{Nombre='Richard & Alice', Plataforma='PC             ', Desarrollador='Denby / Raze   ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Feb 21, 2013', Críticas Positivas=7, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=2, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=70.0, User Score=68.0}
Juego{Nombre=''Broken Sword 5', Plataforma='PC             ', Desarrollador='Revolution Soft', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Dec  4, 2013', Críticas Positivas=16, Críticas Neutrales=23, Críticas Negativas=0, Reseñas Positivas=29, Reseñas Neutrales=15, Reseñas Negativas=3, Meta Score=69.0, User Score=80.0}
Juego{Nombre='Blackguards    ', Plataforma='PC             ', Desarrollador='Daedalic Entert', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Nov  6, 2013', Críticas Positivas=17, Críticas Neutrales=29, Críticas Negativas=2, Reseñas Positivas=35, Reseñas Neutrales=23, Reseñas Negativas=20, Meta Score=68.0, User Score=71.0}
Juego{Nombre='Doki-Doki Unive', Plataforma='VITA           ', Desarrollador='SCEA           ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Dec 10, 2013', Críticas Positivas=1, Críticas Neutrales=6, Críticas Negativas=0, Reseñas Positivas=0, Reseñas Neutrales=1, Reseñas Negativas=2, Meta Score=66.0, User Score=55.0}
Juego{Nombre='Super Motherloa', Plataforma='PS4            ', Desarrollador='XGenStudios    ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Nov 15, 2013', Críticas Positivas=4, Críticas Neutrales=14, Críticas Negativas=2, Reseñas Positivas=7, Reseñas Neutrales=2, Reseñas Negativas=0, Meta Score=65.0, User Score=67.0}
Juego{Nombre='Pokemon Mystery', Plataforma='3DS            ', Desarrollador='Nintendo, Spike', Género='General        ', Número de Jugadores='1 Player       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Mar 24, 2013', Críticas Positivas=9, Críticas Neutrales=28, Críticas Negativas=9, Reseñas Positivas=17, Reseñas Neutrales=25, Reseñas Negativas=14, Meta Score=59.0, User Score=62.0}
Juego{Nombre='Horizon        ', Plataforma='PC             ', Desarrollador='L3O Interactive', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Jul  2, 2013', Críticas Positivas=0, Críticas Neutrales=13, Críticas Negativas=1, Reseñas Positivas=3, Reseñas Neutrales=5, Reseñas Negativas=1, Meta Score=58.0, User Score=67.0}
Juego{Nombre='Knock-knock    ', Plataforma='PC             ', Desarrollador='Ice-Pick Lodge ', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Oct  4, 2013', Críticas Positivas=4, Críticas Neutrales=6, Críticas Negativas=6, Reseñas Positivas=14, Reseñas Neutrales=2, Reseñas Negativas=4, Meta Score=57.0, User Score=83.0}
Juego{Nombre='The Amazing Spi', Plataforma='VITA           ', Desarrollador='Mercenary Techn', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 19, 2013', Críticas Positivas=1, Críticas Neutrales=3, Críticas Negativas=3, Reseñas Positivas=7, Reseñas Neutrales=4, Reseñas Negativas=1, Meta Score=55.0, User Score=69.0}
Juego{Nombre='Dragon Age: Inq', Plataforma='PS4            ', Desarrollador='BioWare        ', Género='General        ', Número de Jugadores='Up to 4        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Nov 18, 2014', Críticas Positivas=42, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=300, Reseñas Neutrales=89, Reseñas Negativas=53, Meta Score=89.0, User Score=74.0}
Juego{Nombre='Dragon Age: Inq', Plataforma='XONE           ', Desarrollador='BioWare        ', Género='General        ', Número de Jugadores='Up to 4        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Nov 18, 2014', Críticas Positivas=24, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=98, Reseñas Neutrales=30, Reseñas Negativas=30, Meta Score=85.0, User Score=70.0}
Juego{Nombre='Valkyria Chroni', Plataforma='PC             ', Desarrollador='Sega           ', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 11, 2014', Críticas Positivas=23, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=46, Reseñas Neutrales=10, Reseñas Negativas=4, Meta Score=85.0, User Score=82.0}
Juego{Nombre='Frozen Synapse ', Plataforma='VITA           ', Desarrollador='Double Eleven  ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Sep 23, 2014', Críticas Positivas=15, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=1, Reseñas Neutrales=0, Reseñas Negativas=1, Meta Score=84.0, User Score=72.0}
Juego{Nombre='The Blackwell E', Plataforma='PC             ', Desarrollador='Wadjet Eye Game', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Apr 24, 2014', Críticas Positivas=13, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=8, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=83.0, User Score=77.0}
Juego{Nombre='Kero Blaster   ', Plataforma='PC             ', Desarrollador='Studio Pixel   ', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='May 11, 2014', Críticas Positivas=13, Críticas Neutrales=0, Críticas Negativas=1, Reseñas Positivas=3, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=82.0, User Score=73.0}
Juego{Nombre='ETHER One      ', Plataforma='PC             ', Desarrollador='White Paper Gam', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Mar 25, 2014', Críticas Positivas=16, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=2, Reseñas Neutrales=2, Reseñas Negativas=1, Meta Score=82.0, User Score=69.0}
Juego{Nombre='Broken Age: Act', Plataforma='PC             ', Desarrollador='Double Fine Pro', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Jan 28, 2014', Críticas Positivas=54, Críticas Neutrales=10, Críticas Negativas=0, Reseñas Positivas=48, Reseñas Neutrales=11, Reseñas Negativas=13, Meta Score=82.0, User Score=77.0}
Juego{Nombre='Nidhogg        ', Plataforma='PC             ', Desarrollador='Messhof        ', Género='General        ', Número de Jugadores='1-2            ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jan 13, 2014', Críticas Positivas=35, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=14, Reseñas Neutrales=9, Reseñas Negativas=6, Meta Score=81.0, User Score=68.0}
Juego{Nombre=''The Walking De', Plataforma='PC             ', Desarrollador='Telltale Games ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 13, 2014', Críticas Positivas=32, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=27, Reseñas Neutrales=10, Reseñas Negativas=2, Meta Score=81.0, User Score=83.0}
Juego{Nombre='Wolfenstein: Th', Plataforma='PC             ', Desarrollador='MachineGames   ', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 19, 2014', Críticas Positivas=20, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=277, Reseñas Neutrales=60, Reseñas Negativas=46, Meta Score=81.0, User Score=82.0}
Juego{Nombre='Professor Layto', Plataforma='3DS            ', Desarrollador='Level 5        ', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Feb 28, 2014', Críticas Positivas=48, Críticas Neutrales=10, Críticas Negativas=0, Reseñas Positivas=9, Reseñas Neutrales=2, Reseñas Negativas=1, Meta Score=81.0, User Score=81.0}
Juego{Nombre='The Walking Dea', Plataforma='PC             ', Desarrollador='Telltale Games ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar  4, 2014', Críticas Positivas=31, Críticas Neutrales=9, Críticas Negativas=0, Reseñas Positivas=37, Reseñas Neutrales=10, Reseñas Negativas=6, Meta Score=81.0, User Score=85.0}
