Juego{Nombre='FIFA Soccer 13 ', Plataforma='VITA           ', Desarrollador='Electronic Arts', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 25, 2012', Críticas Positivas=1, Críticas Neutrales=7, Críticas Negativas=1, Reseñas Positivas=13, Reseñas Neutrales=6, Reseñas Negativas=27, Meta Score=57.0, User Score=42.0}
Juego{Nombre='ESPN Sports Con', Plataforma='WIIU           ', Desarrollador='Ubisoft        ', Género='Sports         ', Número de Jugadores='1-5            ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 13, 2012', Críticas Positivas=0, Críticas Neutrales=0, Críticas Negativas=13, Reseñas Positivas=1, Reseñas Neutrales=1, Reseñas Negativas=3, Meta Score=31.0, User Score=29.0}
Juego{Nombre='FIFA 14        ', Plataforma='PS4            ', Desarrollador='EA Canada      ', Género='Sports         ', Número de Jugadores='Up to 22       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 12, 2013', Críticas Positivas=26, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=43, Reseñas Neutrales=22, Reseñas Negativas=39, Meta Score=87.0, User Score=63.0}
Juego{Nombre='Out of the Park', Plataforma='PC             ', Desarrollador='Out Of The Park', Género='Sports         ', Número de Jugadores='1 Player       ', Clasificación de Edad='               ', Fecha de Lanzamiento='Apr 15, 2013', Críticas Positivas=7, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=25, Reseñas Neutrales=2, Reseñas Negativas=2, Meta Score=86.0, User Score=82.0}
Juego{Nombre='NBA 2K14       ', Plataforma='PS4            ', Desarrollador='Visual Concepts', Género='Sports         ', Número de Jugadores='Up to 10       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 12, 2013', Críticas Positivas=19, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=23, Reseñas Neutrales=12, Reseñas Negativas=31, Meta Score=85.0, User Score=65.0}
Juego{Nombre='Football Manage', Plataforma='PC             ', Desarrollador='Sports Interact', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct 30, 2013', Críticas Positivas=40, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=17, Reseñas Neutrales=10, Reseñas Negativas=55, Meta Score=85.0, User Score=56.0}
Juego{Nombre='MLB 13: The Sho', Plataforma='VITA           ', Desarrollador='SCEA San Diego ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Mar  5, 2013', Críticas Positivas=5, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=7, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=75.0, User Score=75.0}
Juego{Nombre='Madden NFL 25  ', Plataforma='PS4            ', Desarrollador='EA Sports      ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 12, 2013', Críticas Positivas=7, Críticas Neutrales=6, Críticas Negativas=0, Reseñas Positivas=16, Reseñas Neutrales=6, Reseñas Negativas=13, Meta Score=74.0, User Score=52.0}
Juego{Nombre='Pro Evolution S', Plataforma='PC             ', Desarrollador='Konami         ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 12, 2013', Críticas Positivas=3, Críticas Neutrales=6, Críticas Negativas=0, Reseñas Positivas=10, Reseñas Neutrales=17, Reseñas Negativas=37, Meta Score=74.0, User Score=44.0}
Juego{Nombre='Madden NFL 25  ', Plataforma='XONE           ', Desarrollador='EA Sports      ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 19, 2013', Críticas Positivas=11, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=8, Reseñas Neutrales=12, Reseñas Negativas=5, Meta Score=73.0, User Score=58.0}
Juego{Nombre='Wii Fit U      ', Plataforma='WIIU           ', Desarrollador='Nintendo       ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov  1, 2013', Críticas Positivas=12, Críticas Neutrales=6, Críticas Negativas=1, Reseñas Positivas=11, Reseñas Neutrales=1, Reseñas Negativas=1, Meta Score=72.0, User Score=77.0}
Juego{Nombre='Inazuma Eleven ', Plataforma='3DS            ', Desarrollador='Level 5        ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Sep 27, 2013', Críticas Positivas=6, Críticas Neutrales=12, Críticas Negativas=0, Reseñas Positivas=1, Reseñas Neutrales=1, Reseñas Negativas=0, Meta Score=72.0, User Score=77.0}
Juego{Nombre='Inazuma Eleven ', Plataforma='3DS            ', Desarrollador='Level 5        ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Sep 27, 2013', Críticas Positivas=5, Críticas Neutrales=14, Críticas Negativas=0, Reseñas Positivas=1, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=70.0, User Score=72.0}
Juego{Nombre='Real Boxing    ', Plataforma='VITA           ', Desarrollador='Vivid Games    ', Género='Sports         ', Número de Jugadores='2              ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Sep 17, 2013', Críticas Positivas=5, Críticas Neutrales=12, Críticas Negativas=0, Reseñas Positivas=0, Reseñas Neutrales=2, Reseñas Negativas=1, Meta Score=69.0, User Score=68.0}
Juego{Nombre='Wii Sports Club', Plataforma='WIIU           ', Desarrollador='Nintendo       ', Género='Sports         ', Número de Jugadores='Up to 4        ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Nov  7, 2013', Críticas Positivas=4, Críticas Neutrales=17, Críticas Negativas=0, Reseñas Positivas=12, Reseñas Neutrales=8, Reseñas Negativas=6, Meta Score=68.0, User Score=70.0}
Juego{Nombre='Table Mini Golf', Plataforma='VITA           ', Desarrollador='Four Door Lemon', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Apr  9, 2013', Críticas Positivas=0, Críticas Neutrales=6, Críticas Negativas=1, Reseñas Positivas=0, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=56.0, User Score=53.0}
Juego{Nombre='Mario & Sonic a', Plataforma='WIIU           ', Desarrollador='Nintendo, Sega ', Género='Sports         ', Número de Jugadores='1-4            ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 15, 2013', Críticas Positivas=0, Críticas Neutrales=31, Críticas Negativas=8, Reseñas Positivas=5, Reseñas Neutrales=4, Reseñas Negativas=4, Meta Score=55.0, User Score=61.0}
